Smithsonian Museum(A),,,,,Amon Carter(B),,,,Confidence
fullName@A,appellation@A, person @A,birthYear@A,deathYear@A, name @B, person @B, birthYear @B, deathYear @B,
Georgia Totto O'Keeffe,,http://collection.americanart.si.edu/id/person-institution/3597,1887,1986,Georgia O'Keeffe,http://collection.cartermuseum.org/id/person-institution/georgia-okeeffe,1887,1986,65
Henry Peter Bosse,,http://collection.americanart.si.edu/id/person-institution/6667,1844,1903,Henry P. Bosse,http://collection.cartermuseum.org/id/person-institution/henry-p.-bosse,1844,1903,72
Jacob Eicholtz,,http://collection.americanart.si.edu/id/person-institution/1424,1776,1842,Jacob Eicholtz,http://collection.cartermuseum.org/id/person-institution/jacob-eicholtz,1776,1842,100
Jacob Eicholz,,http://collection.americanart.si.edu/id/person-institution/1424,1776,1842,Jacob Eicholtz,http://collection.cartermuseum.org/id/person-institution/jacob-eicholtz,1776,1842,100
James Abbott McNeill Whistler,,http://collection.americanart.si.edu/id/person-institution/5349,1834,1903,James McNeill Whistler,http://collection.cartermuseum.org/id/person-institution/james-mcneill-whistler,1834,1903,71
James David Smillie,,http://collection.americanart.si.edu/id/person-institution/4489,1833,1909,James David Smillie,http://collection.cartermuseum.org/id/person-institution/james-david-smillie,1833,1909,100
Jasper F. Cropsey,,http://collection.americanart.si.edu/id/person-institution/1052,1823,1900,Jasper Francis Cropsey,http://collection.cartermuseum.org/id/person-institution/jasper-francis-cropsey,1823,1900,65
John Frederick Peto,,http://collection.americanart.si.edu/id/person-institution/3779,1854,1907,John Frederick Peto,http://collection.cartermuseum.org/id/person-institution/john-frederick-peto,1854,1907,100
John S. Sargent,,http://collection.americanart.si.edu/id/person-institution/4253,1856,1925,John Singer Sargent,http://collection.cartermuseum.org/id/person-institution/john-singer-sargent,1856,1925,67
John William Hill,,http://collection.americanart.si.edu/id/person-institution/28096,1812,1879,John William Hill,http://collection.cartermuseum.org/id/person-institution/john-william-hill,1812,1879,100
John Xceron,,http://collection.americanart.si.edu/id/person-institution/5505,1890,1967,John Xceron,http://collection.cartermuseum.org/id/person-institution/john-xceron,1890,1967,100
Lewis Hine,,http://collection.americanart.si.edu/id/person-institution/2232,1874,1940,Lewis Hine,http://collection.cartermuseum.org/id/person-institution/lewis-hine,1874,1940,100
Morton Livingston Schamberg,,http://collection.americanart.si.edu/id/person-institution/4286,1881,1918,Morton Livingston Schamberg,http://collection.cartermuseum.org/id/person-institution/morton-livingston-schamberg,1881,1918,100
Paul W. Bartlett,,http://collection.americanart.si.edu/id/person-institution/266,1865,1925,Paul Wayland Bartlett,http://collection.cartermuseum.org/id/person-institution/paul-wayland-bartlett,1865,1925,62
Robert Scott Duncanson,,http://collection.americanart.si.edu/id/person-institution/1353,1821,1872,Robert Seldon Duncanson,http://collection.cartermuseum.org/id/person-institution/robert-seldon-duncanson,1821,1872,76
Sanford R. Gifford,,http://collection.americanart.si.edu/id/person-institution/1800,1823,1880,Sanford Robinson Gifford,http://collection.cartermuseum.org/id/person-institution/sanford-robinson-gifford,1823,1880,61
Severin Rï¿__sen,,http://collection.americanart.si.edu/id/person-institution/4094,1815,,Severin Roesen,http://collection.cartermuseum.org/id/person-institution/severin-roesen,1816,,75
Solon Borglum,,http://collection.americanart.si.edu/id/person-institution/509,1868,1922,Solon Borglum,http://collection.cartermuseum.org/id/person-institution/solon-borglum,1868,1922,100
T. H. O'Sullivan,,http://collection.americanart.si.edu/id/person-institution/3600,1840,1882,Timothy H. O'Sullivan,http://collection.cartermuseum.org/id/person-institution/timothy-h.-osullivan,1840,1882,62
Timothy O'Sullivan,,http://collection.americanart.si.edu/id/person-institution/3600,1840,1882,Timothy H. O'Sullivan,http://collection.cartermuseum.org/id/person-institution/timothy-h.-osullivan,1840,1882,91
Wells Moses Sawyer,,http://collection.americanart.si.edu/id/person-institution/4279,1863,1960,Wells Moses Sawyer,http://collection.cartermuseum.org/id/person-institution/wells-moses-sawyer,1863,1961,84
Willard Leroy Metcalf,,http://collection.americanart.si.edu/id/person-institution/3295,1858,1925,Willard LeRoy Metcalf,http://collection.cartermuseum.org/id/person-institution/willard-leroy-metcalf,1858,1925,100
Willard Metcalf,,http://collection.americanart.si.edu/id/person-institution/3295,1858,1925,Willard LeRoy Metcalf,http://collection.cartermuseum.org/id/person-institution/willard-leroy-metcalf,1858,1925,62
William Henry Jackson,,http://collection.americanart.si.edu/id/person-institution/2424,1843,1942,William Henry Jackson,http://collection.cartermuseum.org/id/person-institution/william-henry-jackson,1843,1942,100
William Henry Johnson,,http://collection.americanart.si.edu/id/person-institution/2486,1901,1970,William Henry Johnson,http://collection.cartermuseum.org/id/person-institution/william-henry-johnson,1901,1970,100
William M. Chase,,http://collection.americanart.si.edu/id/person-institution/840,1849,1916,William Merritt Chase,http://collection.cartermuseum.org/id/person-institution/william-merritt-chase,1849,1916,62
William S. Haseltine,,http://collection.americanart.si.edu/id/person-institution/2109,1835,1900,William Stanley Haseltine,http://collection.cartermuseum.org/id/person-institution/william-stanley-haseltine,1835,1900,72
William S. Ranney,,http://collection.americanart.si.edu/id/person-institution/6496,1813,1857,William Tylee Ranney,http://collection.cartermuseum.org/id/person-institution/william-tylee-ranney,1813,1857,70
William T. Richards,,http://collection.americanart.si.edu/id/person-institution/4034,1833,1905,William Trost Richards,http://collection.cartermuseum.org/id/person-institution/william-trost-richards,1833,1905,83
